	BNase_NoOverlap_midpoint_combined.cdt
Nuc-4736239-chr7_90403494_90403658_stddev=18.64787000050021	106.0
Nuc-4744123-chr7_93232411_93232575_stddev=18.915748876413947	209.0
Nuc-5501410-chrX_24647129_24647293_stddev=17.53726191728787	43.0
Nuc-320139-chr1_118185015_118185179_stddev=13.513326755466249	102.0
Nuc-381421-chr1_156338087_156338251_stddev=22.522124538994984	150.0
Nuc-383728-chr1_156913715_156913879_stddev=18.59247159470736	185.0
Nuc-489029-chr1_198639091_198639255_stddev=15.748015748023622	37.0
Nuc-151776-chr1_41023792_41023956_stddev=25.973930425108843	64.0
Nuc-1030758-chr11_67452190_67452354_stddev=21.327822979803898	38.0
Nuc-1204385-chr12_26832236_26832400_stddev=20.332677378451212	132.0
Nuc-1262248-chr12_53995750_53995914_stddev=20.26273549907519	129.0
Nuc-1273582-chr12_57487626_57487790_stddev=19.27911332313589	120.0
Nuc-1595232-chr14_74084235_74084399_stddev=16.090024514862893	67.0
Nuc-1616227-chr14_94081343_94081507_stddev=13.579214326624168	45.0
Nuc-1744156-chr15_66504643_66504807_stddev=13.570119680686245	226.0
Nuc-1764856-chr15_74202594_74202758_stddev=17.527121840165314	118.0
Nuc-1770425-chr15_75712640_75712804_stddev=12.533011963964963	106.0
Nuc-1919774-chr16_30923629_30923793_stddev=24.37313247772759	94.0
Nuc-2115879-chr17_41712359_41712523_stddev=17.79200819344336	36.0
Nuc-2139743-chr17_49414675_49414839_stddev=22.034000192004353	263.0
Nuc-2180268-chr17_65100844_65101008_stddev=11.185062545317356	110.0
Nuc-2394352-chr19_11924721_11924885_stddev=24.57731423487929	241.0
Nuc-2398127-chr19_13260979_13261143_stddev=29.329931775563058	32.0
Nuc-2491308-chr19_49335443_49335607_stddev=16.279163886924003	287.0
Nuc-2860067-chr2_174634396_174634560_stddev=20.03207304842122	103.0
Nuc-2881112-chr2_183078817_183078981_stddev=20.379585373603653	168.0
Nuc-3157267-chr21_39387833_39387997_stddev=22.986711136847934	101.0
Nuc-3177935-chr21_46184247_46184411_stddev=25.091514920047906	86.0
Nuc-3246252-chr22_37849121_37849285_stddev=25.366316248127163	69.0
Nuc-3809659-chr4_144140487_144140651_stddev=16.303544263611993	78.0
Nuc-3685258-chr4_53507974_53508138_stddev=16.809021681125383	117.0
Nuc-3618310-chr4_6575214_6575378_stddev=19.825784433284394	59.0
Nuc-3725952-chr4_81154027_81154191_stddev=14.102707670385982	128.0
Nuc-4145336-chr5_154941132_154941296_stddev=14.922519894441422	107.0
Nuc-4347528-chr6_57316787_57316951_stddev=24.160490266979853	183.0
Nuc-4677181-chr7_64666158_64666322_stddev=17.857660267956344	303.0
Nuc-4699113-chr7_72412141_72412305_stddev=17.346149108343585	62.0
Nuc-5297919-chr9_105662490_105662654_stddev=7.536138827659166	68.0
Nuc-5530607-chrX_56729297_56729461_stddev=13.055171389146908	57.0
Nuc-5543602-chrX_73214613_73214777_stddev=22.59363233794474	28.0
Nuc-425437-chr1_172450175_172450339_stddev=17.586596196432364	276.0
Nuc-175834-chr1_47436692_47436856_stddev=20.028813037691627	443.0
Nuc-831030-chr10_90872012_90872176_stddev=17.54663208483785	68.0
Nuc-1371137-chr12_112409404_112409568_stddev=18.687671897076548	101.0
Nuc-1262384-chr12_54028463_54028627_stddev=22.026280321320446	98.0
Nuc-1449029-chr13_32538590_32538754_stddev=15.89740544868879	133.0
Nuc-1536285-chr14_23185219_23185383_stddev=23.66767394929489	98.0
Nuc-1578031-chr14_64388366_64388530_stddev=18.552833003526644	143.0
Nuc-1651441-chr15_23565712_23565876_stddev=12.951423435230131	109.0
Nuc-1778059-chr15_78299403_78299567_stddev=22.795927728163516	143.0
Nuc-1977506-chr16_70299223_70299387_stddev=17.572408509260377	133.0
Nuc-2060670-chr17_15651454_15651618_stddev=16.10759278894725	86.0
Nuc-2111858-chr17_40054203_40054367_stddev=20.05836359572994	87.0
Nuc-2349826-chr18_74573820_74573984_stddev=17.018597270669062	25.0
Nuc-2477568-chr19_45497265_45497429_stddev=22.64789914407379	140.0
Nuc-2559300-chr2_24124400_24124564_stddev=15.977401032395726	114.0
Nuc-2569830-chr2_27322873_27323037_stddev=17.641282372605456	104.0
Nuc-2594214-chr2_38778248_38778412_stddev=26.395905016742514	115.0
Nuc-2957265-chr20_768659_768823_stddev=20.215333839000092	134.0
Nuc-3472058-chr3_127287845_127288009_stddev=11.997395550701826	47.0
Nuc-4097169-chr5_134370839_134371003_stddev=19.85457331781907	95.0
Nuc-4135316-chr5_150245151_150245315_stddev=18.98313396149329	100.0
Nuc-4044223-chr5_96876728_96876892_stddev=15.938944380694213	178.0
Nuc-4427539-chr6_112347363_112347527_stddev=16.909120833057486	60.0
Nuc-4432549-chr6_116668578_116668742_stddev=18.49922845113269	189.0
Nuc-4316268-chr6_42879663_42879827_stddev=14.699055147261072	176.0
Nuc-4806646-chr7_113118354_113118518_stddev=13.96697493693208	135.0
Nuc-4600930-chr7_22726674_22726838_stddev=20.612833111653742	74.0
Nuc-5545759-chrX_76427741_76427905_stddev=13.242332687257182	49.0
Nuc-308894-chr1_114716561_114716725_stddev=15.25791652292339	207.0
Nuc-371625-chr1_153609143_153609307_stddev=18.340050109433424	160.0
Nuc-377264-chr1_155208430_155208594_stddev=20.869967789998036	197.0
Nuc-171571-chr1_46303730_46303894_stddev=25.077939450668843	184.0
Nuc-1173041-chr12_4538271_4538435_stddev=17.592896293674897	90.0
Nuc-1262979-chr12_54188761_54188925_stddev=16.70339666677447	86.0
Nuc-1474331-chr13_52642467_52642631_stddev=12.147898113312795	54.0
Nuc-1741758-chr15_65611407_65611571_stddev=16.08244067171347	209.0
Nuc-2126952-chr17_44899763_44899927_stddev=12.887032799164038	137.0
Nuc-2446800-chr19_34675845_34676009_stddev=13.557956402724631	53.0
Nuc-2479454-chr19_45995515_45995679_stddev=22.592499919919863	126.0
Nuc-3068010-chr20_56412481_56412645_stddev=19.604594768941837	165.0
Nuc-3119882-chr21_25701917_25702081_stddev=19.6509541753066	56.0
Nuc-3411047-chr3_56557224_56557388_stddev=17.099127617783783	84.0
Nuc-3439061-chr3_88059292_88059456_stddev=19.96520410614427	61.0
Nuc-3829546-chr4_158210622_158210786_stddev=27.841690362156932	77.0
Nuc-3748041-chr4_95840151_95840315_stddev=24.032385556901243	25.0
Nuc-4280045-chr6_31137732_31137896_stddev=30.88014464560251	39.0
Nuc-4762444-chr7_100049813_100049977_stddev=17.379329771285214	227.0
Nuc-4676500-chr7_64314011_64314175_stddev=16.208513840439313	158.0
Nuc-4678171-chr7_65006265_65006429_stddev=23.61651532124008	198.0
Nuc-5293396-chr9_101398401_101398565_stddev=18.2161233097907	192.0
Nuc-5528566-chrX_54440447_54440611_stddev=11.421759812840675	76.0
Nuc-5548682-chrX_85003925_85004089_stddev=13.53824030726608	76.0
Nuc-290857-chr1_109619563_109619727_stddev=16.77961726487096	199.0
Nuc-56086-chr1_16017467_16017631_stddev=13.725483193275526	89.0
Nuc-511440-chr1_205449762_205449926_stddev=23.293672009997533	98.0
Nuc-116667-chr1_31576556_31576720_stddev=19.16755927914984	187.0
Nuc-658758-chr10_13706985_13707149_stddev=16.526914076405458	87.0
Nuc-1264161-chr12_54473367_54473531_stddev=18.951517089668574	126.0
Nuc-2207251-chr17_76541124_76541288_stddev=21.828646222758923	125.0
Nuc-2477552-chr19_45493034_45493198_stddev=17.011343346988674	160.0
Nuc-2494860-chr19_50329687_50329851_stddev=21.055441036041543	185.0
Nuc-2499186-chr19_51571320_51571484_stddev=17.21494021676133	74.0
Nuc-2380835-chr19_7629843_7630007_stddev=17.542804792848834	102.0
Nuc-2380835-chr19_7629843_7630007_stddev=17.542804792848834	102.0
Nuc-2807468-chr2_151288964_151289128_stddev=17.250402571792023	97.0
Nuc-3164941-chr21_42403958_42404122_stddev=20.69671874154613	152.0
Nuc-3808831-chr4_143905356_143905520_stddev=16.79334775813387	66.0
Nuc-4163554-chr5_169980565_169980729_stddev=21.72286014918902	150.0
Nuc-4534651-chr6_161273845_161274009_stddev=22.10635267072266	255.0
Nuc-4281224-chr6_32838042_32838206_stddev=7.548482750641661	34.0
Nuc-4808531-chr7_114076197_114076361_stddev=19.917886991903085	96.0
Nuc-4743858-chr7_93147359_93147523_stddev=23.821185715427536	136.0
Nuc-5347267-chr9_128150842_128151006_stddev=17.977688713355224	258.0
Nuc-377026-chr1_155140292_155140456_stddev=19.521834975645262	120.0
Nuc-510091-chr1_205121802_205121966_stddev=18.5147052334304	229.0
Nuc-1022944-chr11_65382225_65382389_stddev=24.53790625822454	163.0
Nuc-1270455-chr12_56636164_56636328_stddev=15.231839303624122	316.0
Nuc-1176157-chr12_6451875_6452039_stddev=18.937478691038933	98.0
Nuc-1505400-chr13_97222369_97222533_stddev=26.755381057134386	99.0
Nuc-2452941-chr19_36850584_36850748_stddev=21.711971863979148	69.0
Nuc-2453217-chr19_37172504_37172668_stddev=20.050187031546614	76.0
Nuc-2466522-chr19_41549556_41549720_stddev=5.769224438109854	38.0
Nuc-2934939-chr2_230416258_230416422_stddev=19.94312901883073	87.0
Nuc-2570926-chr2_27629094_27629258_stddev=15.177336438707403	162.0
Nuc-3230744-chr22_29767423_29767587_stddev=18.344085653186003	183.0
Nuc-3729927-chr4_83035237_83035401_stddev=19.569200290252027	159.0
Nuc-4050711-chr5_103562584_103562748_stddev=13.015449298389875	173.0
Nuc-4116610-chr5_141338798_141338962_stddev=19.9949993748437	60.0
Nuc-4277778-chr6_28350012_28350176_stddev=12.89319103247912	198.0
Nuc-4317775-chr6_43247393_43247557_stddev=21.791966316015802	208.0
Nuc-4775186-chr7_103297477_103297641_stddev=19.103599137335355	164.0
Nuc-4812673-chr7_116724095_116724259_stddev=20.56713054148688	157.0
Nuc-4588883-chr7_13991128_13991292_stddev=22.344662687480515	124.0
Nuc-4998929-chr8_30744199_30744363_stddev=14.928816604720929	152.0
Nuc-5212592-chr9_35914709_35914873_stddev=20.39507743730014	75.0
Nuc-5529592-chrX_55220387_55220551_stddev=19.95586846996473	110.0
Nuc-361905-chr1_150364749_150364913_stddev=13.033468524347152	177.0
Nuc-373608-chr1_154205906_154206070_stddev=17.79589496347459	56.0
Nuc-1103931-chr11_106077123_106077287_stddev=23.059483860623754	140.0
Nuc-1132300-chr11_118678859_118679023_stddev=19.7578109554171	168.0
Nuc-1051027-chr11_73877057_73877221_stddev=16.529901824299735	166.0
Nuc-1448645-chr13_32315217_32315381_stddev=20.309849827115908	56.0
Nuc-1557151-chr14_44961729_44961893_stddev=15.3086590308333	168.0
Nuc-1876098-chr16_15643308_15643472_stddev=18.889177335399317	67.0
Nuc-2178069-chr17_64449189_64449353_stddev=22.026513010086088	195.0
Nuc-2454002-chr19_37779382_37779546_stddev=16.516918409618665	118.0
Nuc-2903544-chr2_201072051_201072215_stddev=21.81869297922768	134.0
Nuc-2926274-chr2_219498947_219499111_stddev=16.2440071594124	85.0
Nuc-2559049-chr2_24047164_24047328_stddev=18.202310285317953	189.0
Nuc-2593801-chr2_38666129_38666293_stddev=25.99165808737097	238.0
Nuc-2655358-chr2_68871207_68871371_stddev=28.082391095759142	148.0
Nuc-2658537-chr2_69894000_69894164_stddev=18.253828870431594	110.0
Nuc-3499361-chr3_142028417_142028581_stddev=8.340382693322553	106.0
Nuc-3399885-chr3_49689265_49689429_stddev=21.99597984295541	195.0
Nuc-3669907-chr4_44678152_44678316_stddev=14.609221843783688	136.0
Nuc-3979407-chr5_62579890_62580054_stddev=25.04464763177953	44.0
Nuc-4831193-chr7_124929621_124929785_stddev=19.430756179682913	173.0
Nuc-5603280-chrX_155022519_155022683_stddev=17.4928556845359	70.0
Nuc-94136-chr1_25871297_25871461_stddev=20.702361488563465	251.0
Nuc-750171-chr10_56361055_56361219_stddev=17.724075635780196	108.0
Nuc-920824-chr11_10456095_10456259_stddev=18.266387153840228	115.0
Nuc-986174-chr11_46701073_46701237_stddev=19.880382084777313	109.0
Nuc-1074071-chr11_85628636_85628800_stddev=20.472813550524904	101.0
Nuc-1183988-chr12_10505930_10506094_stddev=23.739325086353144	35.0
Nuc-1273703-chr12_57520306_57520470_stddev=20.497959693755014	254.0
Nuc-1538843-chr14_24232159_24232323_stddev=23.239836488237177	122.0
Nuc-1538843-chr14_24232159_24232323_stddev=23.239836488237177	122.0
Nuc-1581522-chr14_66495746_66495910_stddev=15.459624833740307	46.0
Nuc-2205151-chr17_76000672_76000836_stddev=18.07622748252522	34.0
Nuc-2475409-chr19_44942277_44942441_stddev=19.0344207055963	98.0
Nuc-2766920-chr2_127064711_127064875_stddev=20.971159739421342	231.0
Nuc-2800492-chr2_148021135_148021299_stddev=19.920676026012103	82.0
Nuc-2955639-chr20_290232_290396_stddev=12.595534923138436	151.0
Nuc-3022974-chr20_38217601_38217765_stddev=20.901461521864924	57.0
Nuc-4107063-chr5_138178428_138178592_stddev=18.20517979665599	126.0
Nuc-4126612-chr5_146182440_146182604_stddev=19.361688975913232	132.0
Nuc-4000060-chr5_73565797_73565961_stddev=16.776099069807618	121.0
Nuc-4270518-chr6_26383148_26383312_stddev=18.423036775289482	444.0
Nuc-5541214-chrX_71533139_71533303_stddev=16.221461169362513	76.0
Nuc-296958-chr1_111346322_111346486_stddev=19.825784433284394	160.0
Nuc-372790-chr1_153967530_153967694_stddev=15.04480045601289	181.0
Nuc-391412-chr1_160284926_160285090_stddev=17.049527575054515	103.0
Nuc-391412-chr1_160284926_160285090_stddev=17.049527575054515	103.0
Nuc-558514-chr1_223628138_223628302_stddev=20.95634432211255	104.0
Nuc-608436-chr1_241531548_241531712_stddev=17.360137528257084	228.0
Nuc-226291-chr1_67207658_67207822_stddev=21.746034121190924	118.0
Nuc-724680-chr10_44978603_44978767_stddev=12.553706845213311	121.0
Nuc-965375-chr11_34514548_34514712_stddev=17.18526500620032	54.0
Nuc-1014214-chr11_62841603_62841767_stddev=22.43301138946798	45.0
Nuc-1187033-chr12_12611937_12612101_stddev=27.357629818700527	110.0
Nuc-1259028-chr12_53078955_53079119_stddev=22.50955957163186	161.0
Nuc-1295019-chr12_69689072_69689236_stddev=17.228627339402287	154.0
Nuc-1180399-chr12_8227406_8227570_stddev=19.441303601206524	112.0
Nuc-2420054-chr19_19821571_19821735_stddev=14.446240948808116	39.0
Nuc-2487779-chr19_48391348_48391512_stddev=18.706800234139457	204.0
Nuc-3010552-chr20_34676887_34677051_stddev=21.255718184892167	167.0
Nuc-3041411-chr20_45881279_45881443_stddev=15.725367952192212	111.0
Nuc-3231921-chr22_30266024_30266188_stddev=23.089199014065237	44.0
Nuc-3937615-chr5_39203467_39203631_stddev=18.940579772809954	113.0
Nuc-4411412-chr6_106629620_106629784_stddev=8.854353944072345	167.0
Nuc-4426930-chr6_112054358_112054522_stddev=14.266717385325226	161.0
Nuc-4828402-chr7_123609532_123609696_stddev=21.25056609910676	182.0
Nuc-5123015-chr8_107336293_107336457_stddev=14.405373750771211	74.0
Nuc-5316072-chr9_114348883_114349047_stddev=16.31142237819866	136.0
Nuc-5468346-chrM_8176_8340_stddev=14.265196979899939	529.0
Nuc-5546598-chrX_77899521_77899685_stddev=23.58580081320115	88.0
Nuc-388799-chr1_159077036_159077200_stddev=23.26160013447756	115.0
Nuc-451405-chr1_181034026_181034190_stddev=13.15702009325725	376.0
Nuc-82630-chr1_23013849_23014013_stddev=25.726855496737258	125.0
Nuc-235682-chr1_74733215_74733379_stddev=18.728855576822674	185.0
Nuc-970336-chr11_36289210_36289374_stddev=22.45811354288969	87.0
Nuc-1255557-chr12_52010543_52010707_stddev=19.990685330923498	157.0
Nuc-2130725-chr17_46833260_46833424_stddev=20.70265683432926	34.0
Nuc-3074221-chr20_58651306_58651470_stddev=20.71648714203672	140.0
Nuc-3084056-chr20_62832768_62832932_stddev=20.45459685607073	107.0
Nuc-3462969-chr3_121834786_121834950_stddev=18.328603772873038	99.0
Nuc-3586588-chr3_194136189_194136353_stddev=16.488914382719717	65.0
Nuc-3405273-chr3_52225442_52225606_stddev=19.091155602064067	39.0
Nuc-4111627-chr5_139482100_139482264_stddev=14.18320833566265	269.0
Nuc-4116348-chr5_141135259_141135423_stddev=20.793253112488195	47.0
Nuc-4171402-chr5_173144570_173144734_stddev=13.077723789105358	116.0
Nuc-4451693-chr6_130018626_130018790_stddev=14.948801512718893	149.0
Nuc-4281433-chr6_33289644_33289808_stddev=15.654575814905899	76.0
Nuc-4318689-chr6_43477617_43477781_stddev=22.37398134714325	68.0
Nuc-5100555-chr8_98116958_98117122_stddev=22.20782519743885	116.0
Nuc-5328985-chr9_122371067_122371231_stddev=20.574011296497392	80.0
Nuc-5331780-chr9_123356234_123356398_stddev=19.560881860835252	90.0
Nuc-4511-chr1_1358345_1358509_stddev=8.205689083394114	78.0
Nuc-1048925-chr11_73289225_73289389_stddev=22.87298742444914	101.0
Nuc-1055056-chr11_75096750_75096914_stddev=15.723867208800765	217.0
Nuc-1446389-chr13_30422448_30422612_stddev=18.62495339293199	77.0
Nuc-2106841-chr17_38297207_38297371_stddev=14.96215930063238	101.0
Nuc-2396977-chr19_12965584_12965748_stddev=15.646937932600956	104.0
Nuc-2410891-chr19_17309051_17309215_stddev=16.431019294667276	147.0
Nuc-2420365-chr19_20078035_20078199_stddev=21.315050104251352	42.0
Nuc-2489090-chr19_48741374_48741538_stddev=22.440043572942447	189.0
Nuc-2384191-chr19_8577233_8577397_stddev=21.526894857737066	102.0
Nuc-2384621-chr19_8721676_8721840_stddev=24.279025400130156	47.0
Nuc-2685772-chr2_85561672_85561836_stddev=14.970871187976476	150.0
Nuc-3241963-chr22_36156741_36156905_stddev=15.579464791301113	122.0
Nuc-3249361-chr22_38982443_38982607_stddev=25.970603039248477	37.0
Nuc-3572697-chr3_185552377_185552541_stddev=24.39757642753046	170.0
Nuc-3981276-chr5_64768984_64769148_stddev=10.627529110757589	156.0
Nuc-4450853-chr6_129709980_129710144_stddev=19.22435912878941	275.0
Nuc-4280637-chr6_31814408_31814572_stddev=10.992702405361456	41.0
Nuc-4762733-chr7_100119142_100119306_stddev=12.348033159272548	165.0
Nuc-5211677-chr9_35563665_35563829_stddev=27.958302285129307	70.0
Nuc-363198-chr1_150696945_150697109_stddev=14.473115572680447	117.0
Nuc-364994-chr1_151176433_151176597_stddev=28.16752957258095	113.0
Nuc-418327-chr1_169368268_169368432_stddev=17.54731213791178	187.0
Nuc-516033-chr1_206612246_206612410_stddev=17.085008047993423	285.0
Nuc-857564-chr10_104122202_104122366_stddev=13.894443333777556	71.0
Nuc-898696-chr11_2302389_2302553_stddev=19.605995555655802	135.0
Nuc-1013781-chr11_62728528_62728692_stddev=19.31296545731554	235.0
Nuc-1666394-chr15_34225063_34225227_stddev=19.63181815379484	101.0
Nuc-1843005-chr16_2830201_2830365_stddev=17.077848007345175	49.0
Nuc-2202994-chr17_75456698_75456862_stddev=14.378588305285486	116.0
Nuc-2310832-chr18_35289994_35290158_stddev=28.99330216184306	131.0
Nuc-2421665-chr19_21505649_21505813_stddev=14.486216918094167	221.0
Nuc-2491413-chr19_49363247_49363411_stddev=15.933562062514458	145.0
Nuc-2870367-chr2_178072555_178072719_stddev=24.716050171794734	171.0
Nuc-2911478-chr2_206765649_206765813_stddev=21.786846184490923	104.0
Nuc-2930580-chr2_224401944_224402108_stddev=23.436666651851326	65.0
Nuc-3086113-chr20_63537860_63538024_stddev=17.289271786831247	165.0
Nuc-3738470-chr4_87390980_87391144_stddev=14.476138772131193	100.0
Nuc-4702542-chr7_73316478_73316642_stddev=15.309719135242162	155.0
Nuc-5143571-chr8_124450864_124451028_stddev=17.395843889141585	136.0
Nuc-5057966-chr8_67746175_67746339_stddev=14.786897705401225	88.0
Nuc-5194912-chr9_6015408_6015572_stddev=8.818163074019441	81.0
Nuc-5577225-chrX_129738205_129738369_stddev=18.17264146895502	61.0
Nuc-5500118-chrX_23908211_23908375_stddev=16.850445097978866	42.0
Nuc-277193-chr1_100249623_100249787_stddev=16.19978628100592	191.0
Nuc-553282-chr1_221741879_221742043_stddev=22.17883735560277	168.0
Nuc-166400-chr1_45012299_45012463_stddev=22.31193004251811	192.0
Nuc-189174-chr1_52404649_52404813_stddev=17.841112805048034	174.0
Nuc-196252-chr1_54200603_54200767_stddev=18.986546893316635	224.0
Nuc-700814-chr10_32446295_32446459_stddev=14.529519564511078	158.0
Nuc-1220672-chr12_34022534_34022698_stddev=17.67272643130004	133.0
Nuc-1967193-chr16_67326532_67326696_stddev=18.406789979661635	80.0
Nuc-2120582-chr17_43006828_43006992_stddev=16.393950103620544	162.0
Nuc-2490403-chr19_49073718_49073882_stddev=18.846156106750257	122.0
Nuc-2492265-chr19_49580776_49580940_stddev=18.43701357020044	141.0
Nuc-2510286-chr19_57477355_57477519_stddev=14.964652632198547	66.0
Nuc-2859238-chr2_174395494_174395658_stddev=18.885829508205823	188.0
Nuc-2569190-chr2_27149079_27149243_stddev=15.362291495737216	94.0
Nuc-2634943-chr2_61017768_61017932_stddev=15.463071362563092	125.0
Nuc-3086629-chr20_63686550_63686714_stddev=15.000591704305865	94.0
Nuc-3459830-chr3_119463412_119463576_stddev=7.635430751525498	117.0
Nuc-3442184-chr3_97764799_97764963_stddev=13.51702848896893	56.0
Nuc-4016378-chr5_80083058_80083222_stddev=23.766723435449467	57.0
Nuc-4297938-chr6_37433262_37433426_stddev=21.00578623988056	63.0
Nuc-5188884-chr9_470343_470507_stddev=16.859623767458363	84.0
Nuc-394515-chr1_161226107_161226271_stddev=18.259138037806068	151.0
Nuc-231543-chr1_70205760_70205924_stddev=20.329702073306784	152.0
Nuc-724417-chr10_44911237_44911401_stddev=27.71465390035254	125.0
Nuc-1088617-chr11_94567417_94567581_stddev=22.41380597365945	98.0
Nuc-1342500-chr12_102120253_102120417_stddev=20.545231070564366	192.0
Nuc-1535678-chr14_23034677_23034841_stddev=20.219213857035584	115.0
Nuc-1583328-chr14_67695549_67695713_stddev=17.883742752780957	142.0
Nuc-1616257-chr14_94110782_94110946_stddev=15.416990424528388	55.0
Nuc-1825773-chr15_99007576_99007740_stddev=27.145717894356746	53.0
Nuc-1969315-chr16_67884937_67885101_stddev=16.226692686914227	82.0
Nuc-2114062-chr17_40664965_40665129_stddev=17.12955012845655	103.0
Nuc-2461336-chr19_39971216_39971380_stddev=19.1829188342129	106.0
Nuc-2463431-chr19_40597249_40597413_stddev=13.358050007392546	67.0
Nuc-3128051-chr21_30497025_30497189_stddev=25.056670463049905	37.0
Nuc-3575698-chr3_186540461_186540625_stddev=22.8543428620103	59.0
Nuc-3289863-chr3_6770135_6770299_stddev=21.79003339959706	82.0
Nuc-3767699-chr4_109815567_109815731_stddev=13.371704047570095	122.0
Nuc-3793696-chr4_129093776_129093940_stddev=14.123109509673222	167.0
Nuc-4117400-chr5_141636636_141636800_stddev=15.084009538249438	138.0
Nuc-4179836-chr5_176448437_176448601_stddev=16.79947089113887	123.0
Nuc-3943049-chr5_41904396_41904560_stddev=14.102616316919654	232.0
Nuc-4276765-chr6_28080996_28081160_stddev=13.297853184087856	255.0
Nuc-4281021-chr6_32130074_32130238_stddev=17.94358443071568	86.0
Nuc-296506-chr1_111199946_111200110_stddev=20.306955679756427	111.0
Nuc-429662-chr1_173715011_173715175_stddev=17.60114921005839	175.0
Nuc-118176-chr1_31944167_31944331_stddev=21.802706820286282	250.0
Nuc-1044967-chr11_72112029_72112193_stddev=12.434519852033583	94.0
Nuc-913601-chr11_7673284_7673448_stddev=24.040781677671575	63.0
Nuc-1350146-chr12_105236335_105236499_stddev=18.226964152656425	111.0
Nuc-1268461-chr12_56116679_56116843_stddev=17.855823975022535	150.0
Nuc-1288770-chr12_67268955_67269119_stddev=17.028570762756992	116.0
Nuc-1678325-chr15_39782252_39782416_stddev=16.169409263122983	179.0
Nuc-1686925-chr15_42273650_42273814_stddev=18.680715612697206	175.0
Nuc-2204510-chr17_75844518_75844682_stddev=21.481387292258383	95.0
Nuc-2392937-chr19_11434898_11435062_stddev=17.87219936672825	176.0
Nuc-3056747-chr20_50691107_50691271_stddev=17.274014635650076	190.0
Nuc-3568911-chr3_184249058_184249222_stddev=16.001928896075675	140.0
Nuc-3405950-chr3_52444890_52445054_stddev=28.923750333131654	33.0
Nuc-3714599-chr4_76234304_76234468_stddev=16.518959805564368	76.0
Nuc-4168492-chr5_172193691_172193855_stddev=12.891079504674842	64.0
Nuc-4791793-chr7_107659988_107660152_stddev=8.132813853746944	121.0
Nuc-4969728-chr8_18210187_18210351_stddev=19.1040530712726	146.0
Nuc-323412-chr1_119711984_119712148_stddev=16.43347062905763	186.0
Nuc-365302-chr1_151254803_151254967_stddev=14.738046003456498	58.0
Nuc-515435-chr1_206470516_206470680_stddev=26.347271413516427	189.0
Nuc-881461-chr10_124791301_124791465_stddev=15.672303396437934	116.0
Nuc-792356-chr10_73168448_73168612_stddev=18.251284201392515	157.0
Nuc-911261-chr11_6619210_6619374_stddev=20.708373540524075	129.0
Nuc-1373422-chr12_113220880_113221044_stddev=25.93493963266543	113.0
Nuc-2457989-chr19_38931001_38931165_stddev=18.514456045493617	228.0
Nuc-2487672-chr19_48363714_48363878_stddev=18.4493947133573	198.0
Nuc-2489081-chr19_48738503_48738667_stddev=21.759468746989867	136.0
Nuc-3527990-chr3_157533402_157533566_stddev=14.936600711551693	110.0
Nuc-3382652-chr3_44729685_44729849_stddev=23.8239841802798	92.0
Nuc-4152677-chr5_160009192_160009356_stddev=18.39149024903221	193.0
Nuc-4024381-chr5_83077654_83077818_stddev=13.679930404346674	110.0
Nuc-5091279-chr8_94553255_94553419_stddev=16.16908922502384	86.0
Nuc-5270095-chr9_92877819_92877983_stddev=19.960213935100825	321.0
Nuc-5521824-chrX_49164383_49164547_stddev=17.083229633002	68.0
Nuc-739966-chr10_49299460_49299624_stddev=19.162714893107058	252.0
Nuc-1398513-chr12_121934084_121934248_stddev=10.984079387914129	140.0
Nuc-1189930-chr12_14803795_14803959_stddev=11.499565209172038	74.0
Nuc-1696584-chr15_45401993_45402157_stddev=15.797986861903922	122.0
Nuc-1744158-chr15_66505373_66505537_stddev=15.985041193256691	159.0
Nuc-1773801-chr15_77018363_77018527_stddev=19.752096818305727	59.0
Nuc-1844069-chr16_3112632_3112796_stddev=20.260838108876182	238.0
Nuc-1920605-chr16_31141997_31142161_stddev=17.168094950371334	119.0
Nuc-1974106-chr16_69348200_69348364_stddev=10.66993439529972	105.0
Nuc-1991254-chr16_75545942_75546106_stddev=15.392723943903599	76.0
Nuc-2405974-chr19_15815734_15815898_stddev=17.94822801529134	57.0
Nuc-2411490-chr19_17470549_17470713_stddev=20.320518433045823	85.0
Nuc-2374375-chr19_5578179_5578343_stddev=13.599053498510965	110.0
Nuc-2723483-chr2_102336227_102336391_stddev=19.743918208860805	156.0
Nuc-2652633-chr2_68062790_68062954_stddev=14.891769300503158	159.0
Nuc-3017573-chr20_36645982_36646146_stddev=19.44902215562308	72.0
Nuc-3591468-chr3_195583755_195583919_stddev=10.97977939466707	75.0
Nuc-3618660-chr4_6673498_6673662_stddev=19.878993938325955	125.0
Nuc-4359440-chr6_68635342_68635506_stddev=21.907058038887648	232.0
Nuc-4767268-chr7_101218218_101218382_stddev=17.705020871502995	192.0
Nuc-4888345-chr7_141791066_141791230_stddev=29.284756081885167	87.0
Nuc-5346007-chr9_127846183_127846347_stddev=21.233054245505816	243.0
Nuc-5213924-chr9_36572947_36573111_stddev=15.819516074990437	102.0
Nuc-5558983-chrX_108439957_108440121_stddev=16.007593684109914	68.0
Nuc-3856-chr1_1185802_1185966_stddev=12.965244562862644	214.0
Nuc-98603-chr1_26914194_26914358_stddev=19.52254081824392	200.0
Nuc-1162101-chr11_134253133_134253297_stddev=21.269925298933753	109.0
